"","Sample","Length","CpG_met","CpG_unmet","Sum"
"158","07_report/CpG_context_sampling_125_158_trimmed_bismark_bt2.CpG",50,38,12,50
"159","07_report/CpG_context_sampling_125_159_trimmed_bismark_bt2.CpG",48,33,15,48
"160","07_report/CpG_context_sampling_125_160_trimmed_bismark_bt2.CpG",38,23,15,38
"161","07_report/CpG_context_sampling_125_161_trimmed_bismark_bt2.CpG",54,31,23,54
"162","07_report/CpG_context_sampling_125_162_trimmed_bismark_bt2.CpG",50,36,14,50
"163","07_report/CpG_context_sampling_125_163_trimmed_bismark_bt2.CpG",43,35,8,43
"164","07_report/CpG_context_sampling_125_164_trimmed_bismark_bt2.CpG",44,28,16,44
"165","07_report/CpG_context_sampling_125_165_trimmed_bismark_bt2.CpG",45,33,12,45
"166","07_report/CpG_context_sampling_125_166_trimmed_bismark_bt2.CpG",47,36,11,47
"167","07_report/CpG_context_sampling_125_167_trimmed_bismark_bt2.CpG",45,38,7,45
"168","07_report/CpG_context_sampling_125_168_trimmed_bismark_bt2.CpG",37,28,9,37
"169","07_report/CpG_context_sampling_125_169_trimmed_bismark_bt2.CpG",36,26,10,36
"170","07_report/CpG_context_sampling_125_170_trimmed_bismark_bt2.CpG",41,31,10,41
"171","07_report/CpG_context_sampling_125_171_trimmed_bismark_bt2.CpG",57,40,17,57
"172","07_report/CpG_context_sampling_125_172_trimmed_bismark_bt2.CpG",32,27,5,32
"173","07_report/CpG_context_sampling_125_173_trimmed_bismark_bt2.CpG",45,30,15,45
"174","07_report/CpG_context_sampling_125_174_trimmed_bismark_bt2.CpG",43,29,14,43
"175","07_report/CpG_context_sampling_125_175_trimmed_bismark_bt2.CpG",46,36,10,46
"176","07_report/CpG_context_sampling_125_176_trimmed_bismark_bt2.CpG",43,29,14,43
"177","07_report/CpG_context_sampling_125_177_trimmed_bismark_bt2.CpG",51,35,16,51
"178","07_report/CpG_context_sampling_125_178_trimmed_bismark_bt2.CpG",43,30,13,43
"179","07_report/CpG_context_sampling_125_179_trimmed_bismark_bt2.CpG",45,33,12,45
"180","07_report/CpG_context_sampling_125_180_trimmed_bismark_bt2.CpG",33,22,11,33
"181","07_report/CpG_context_sampling_125_181_trimmed_bismark_bt2.CpG",41,26,15,41
"182","07_report/CpG_context_sampling_125_182_trimmed_bismark_bt2.CpG",41,30,11,41
"183","07_report/CpG_context_sampling_125_183_trimmed_bismark_bt2.CpG",53,35,18,53
"184","07_report/CpG_context_sampling_125_184_trimmed_bismark_bt2.CpG",45,31,14,45
"185","07_report/CpG_context_sampling_125_185_trimmed_bismark_bt2.CpG",43,27,16,43
"186","07_report/CpG_context_sampling_125_186_trimmed_bismark_bt2.CpG",47,33,14,47
"187","07_report/CpG_context_sampling_125_187_trimmed_bismark_bt2.CpG",44,31,13,44
"188","07_report/CpG_context_sampling_125_188_trimmed_bismark_bt2.CpG",50,35,15,50
"189","07_report/CpG_context_sampling_125_189_trimmed_bismark_bt2.CpG",47,28,19,47
"190","07_report/CpG_context_sampling_125_190_trimmed_bismark_bt2.CpG",37,31,6,37
"191","07_report/CpG_context_sampling_125_191_trimmed_bismark_bt2.CpG",46,33,13,46
"192","07_report/CpG_context_sampling_125_192_trimmed_bismark_bt2.CpG",39,31,8,39
"193","07_report/CpG_context_sampling_125_193_trimmed_bismark_bt2.CpG",43,27,16,43
"194","07_report/CpG_context_sampling_125_194_trimmed_bismark_bt2.CpG",38,28,10,38
"195","07_report/CpG_context_sampling_125_195_trimmed_bismark_bt2.CpG",38,22,16,38
"196","07_report/CpG_context_sampling_125_196_trimmed_bismark_bt2.CpG",44,29,15,44
"197","07_report/CpG_context_sampling_125_197_trimmed_bismark_bt2.CpG",46,34,12,46
"198","07_report/CpG_context_sampling_125_198_trimmed_bismark_bt2.CpG",38,24,14,38
"199","07_report/CpG_context_sampling_125_199_trimmed_bismark_bt2.CpG",33,27,6,33
"200","07_report/CpG_context_sampling_125_200_trimmed_bismark_bt2.CpG",39,28,11,39
"201","07_report/CpG_context_sampling_125_201_trimmed_bismark_bt2.CpG",38,23,15,38
"202","07_report/CpG_context_sampling_125_202_trimmed_bismark_bt2.CpG",46,31,15,46
"203","07_report/CpG_context_sampling_125_203_trimmed_bismark_bt2.CpG",40,28,12,40
"204","07_report/CpG_context_sampling_125_204_trimmed_bismark_bt2.CpG",45,31,14,45
"205","07_report/CpG_context_sampling_125_205_trimmed_bismark_bt2.CpG",43,34,9,43
"206","07_report/CpG_context_sampling_125_206_trimmed_bismark_bt2.CpG",46,35,11,46
"207","07_report/CpG_context_sampling_125_207_trimmed_bismark_bt2.CpG",46,32,14,46
"208","07_report/CpG_context_sampling_125_208_trimmed_bismark_bt2.CpG",46,25,21,46
"209","07_report/CpG_context_sampling_125_209_trimmed_bismark_bt2.CpG",37,31,6,37
"210","07_report/CpG_context_sampling_125_210_trimmed_bismark_bt2.CpG",45,33,12,45
"211","07_report/CpG_context_sampling_125_211_trimmed_bismark_bt2.CpG",49,32,17,49
"212","07_report/CpG_context_sampling_125_212_trimmed_bismark_bt2.CpG",51,38,13,51
"213","07_report/CpG_context_sampling_125_213_trimmed_bismark_bt2.CpG",48,36,12,48
"214","07_report/CpG_context_sampling_125_214_trimmed_bismark_bt2.CpG",42,32,10,42
"215","07_report/CpG_context_sampling_125_215_trimmed_bismark_bt2.CpG",47,25,22,47
"216","07_report/CpG_context_sampling_125_216_trimmed_bismark_bt2.CpG",47,29,18,47
"217","07_report/CpG_context_sampling_125_217_trimmed_bismark_bt2.CpG",40,31,9,40
"218","07_report/CpG_context_sampling_125_218_trimmed_bismark_bt2.CpG",34,26,8,34
"219","07_report/CpG_context_sampling_125_219_trimmed_bismark_bt2.CpG",37,25,12,37
"220","07_report/CpG_context_sampling_125_220_trimmed_bismark_bt2.CpG",51,40,11,51
"221","07_report/CpG_context_sampling_125_221_trimmed_bismark_bt2.CpG",36,27,9,36
"222","07_report/CpG_context_sampling_125_222_trimmed_bismark_bt2.CpG",48,36,12,48
"223","07_report/CpG_context_sampling_125_223_trimmed_bismark_bt2.CpG",43,31,12,43
"224","07_report/CpG_context_sampling_125_224_trimmed_bismark_bt2.CpG",41,28,13,41
